precio,localidad,tamanio,habitaciones,descripcion,link,descripcion_larga,distrito
290.000,Piso en Plaza de Lavapiés Lavapiés-Embajadores,67,2,Planta 4ª interior sin ascensor,/inmueble/107835591/,"
¡Descubre una magnifica oportunidad en el corazón de Madrid!
Este encantador piso se encuentra en el vibrante barrio de Lavapiés. Cuenta con una ubicación inmejorable, justo frente a la Plaza de Lavapiés, que te permite disfrutar de la auténtica esencia multicultural de la zona, una infinita variedad gastronómica y e
",centro
350.000,Dúplex en Plaza de Puerta de Moros 8,Planta,40,,/inmueble/95449744/,"
Soñar Contigo presenta, en exclusiva, esta buhardilla muy especial, ubicada en uno de los puntos más cotizados y castizos de la ciudad, La Latina. Y no hay un punto que sea mas La Latina que la Plaza de Puerta de Moros, enclavada en el centro de todos los hitos culturales, de ocio y arquitectónicos del barrio, con el M
",centro
4.300.000,Piso en Calle del Almirante Chueca-Justicia,234,4,Planta 4ª exterior con ascensor,/inmueble/107748464/,"
Vivienda en Edificio Histórico - Justicia
Barnes presenta esta exclusiva propiedad en un edificio de Protección del Patrimonio Histórico de Madrid construido en el año 1905, con sólo dos vecinos por planta.
Ubicado en en Barrio de Justicia en una calle emblemática y muy tranquila, tan sólo a unos pasos del Paseo de R
",centro
570.000,Piso en Calle del Doctor Fourquet Lavapiés-Embajadores,160,2,Bajo exterior sin ascensor,/inmueble/108437027/,"
Madrid Histórico S. L. presenta este singular espacio, que en la actualidad funciona como una galería de arte con su correspondiente licencia, pero que sería también susceptible de, con los trámites correspondientes de cambio de uso, para los cuales no debería haber ningún impedimento de acuerdo con la normativa vigent
",centro
750.000,Piso en Carrera de San Francisco Palacio,69,2,Planta 2ª interior con ascensor,/inmueble/108032326/,"
Spacio Barceló, expertos en consultoría inmobiliaria, le presenta esta espectacular vivienda integrada en edificio residencial de gran valor patrimonial en Madrid.
Edificio ""Balcón de Palacio"", una rehabilitación y restauración integral, de una finca ubicada en la zona histórica del Madrid de Los Austrias. Rehabilitac
",centro
550.000,Piso en Calle de Segovia Palacio,84,1,Bajo exterior sin ascensor,/inmueble/103178029/,"
Madrid Histórico S. L. pone en venta en exclusiva este inmueble en una ubicación inmejorable en pleno corazón del Madrid de los Austrias. Ideal como inversión, ya que se le puede hacer el cambio de uso a vivienda.
Con 84 metros cuadrados construidos, en una sola planta, distribuida en dos estancias y un cuarto de baño
",centro
2.390.000,Piso en Chueca-Justicia Madrid,166,3,Planta 2ª exterior con ascensor,/inmueble/109244455/,"
GILMAR Consulting Inmobiliario pone a su disposición exclusiva vivienda en el centro de Madrid.
Esta espectacular vivienda cuenta con 3 dormitorios, 2 baños y una cocina totalmente equipada, destacando por su luminosidad y elegancia. Con una orientación sureste y un salón independiente, esta propiedad ofrece tres bal
",centro
1.235.000,Piso en Calle de Fomento Palacio,140,3,Planta 2ª exterior con ascensor,/inmueble/108587908/,"
El equipo de ABRIL20 y toda su experiencia de vida, tiene el encargo de gestionar la venta de este piso situado a 2 minutos de la Plaza de España de Madrid, completamente reformado, moderno, conservando detalles originales, con techos altos, chimenea y elegante cocina con alta gama en todos sus elementos y plaza de gar
",centro
890.000,Piso en Calle de San Bartolomé 13,127,2,Planta 1ª exterior sin ascensor,/inmueble/108515352/,"
¡VIVE EL AUTENTICO MADRID EN EL CORAZON DE CHUECA¡
¿Sueñas con despertar en el epicentro de la vida madrileña, rodeado de historia, cultura y el ambiente más vibrante de la ciudad? Este es tu momento. Te presentamos una joya en una de las calles más castizas y emblemáticas de Madrid: la calle San Bartolomé, en el inco
",centro
598.000,Piso en Calle de Argensola Chueca-Justicia,58,2,Planta 3ª exterior sin ascensor,/inmueble/108734975/,"
VOhome Propiedades presenta en exclusiva este encantador piso totalmente reformado situado en el corazón de Madrid, en el codiciado barrio de Justicia, a escasos metros del Paseo de la Castellana.
Ubicado en una tercera planta, esta vivienda interior destaca por su luminosidad y distribución funcional. Dispone de reci
",centro
3.700.000,Dúplex en Via Gran Vía Malasaña-Universidad,311,3,Planta 11ª exterior con ascensor,/inmueble/106143454/,"
¡Descubre el lujo en las alturas de Madrid con este espectacular ático-dúplex! Ubicado en el corazón de la ciudad, ofrece impresionantes vistas que te dejarán sin aliento. Distribuido en dos plantas, cuenta con un amplio salón-comedor adornado con elegantes balcones, una moderna cocina con terraza y un aseo de cortesía
",centro
475.000,Piso en Calle de Fuencarral Chueca-Justicia,54,1,Planta 2ª interior con ascensor,/inmueble/108429047/,"
Elegante apartamento reformado en finca clásica de Calle Fuencarral, Madrid
Ubicado en una de las calles más emblemáticas de Madrid, este luminoso apartamento combina el encanto de los elementos originales con una reforma moderna y funcional.
La vivienda cuenta con un acogedor comedor integrado con una elegante cocin
",centro
510.000,Piso en Calle de los Cabestreros Lavapiés-Embajadores,72,1,Planta 2ª exterior con ascensor,/inmueble/107329741/,"
Un piso nuevo a estrenar. Con elegancia, personalidad y alma propia. Así es este piso en la capital, un lugar seguro, acogedor y completamente listo para que lo veas y empieces a disfrutarlo.
 
Esta segunda planta exterior tiene 72m² construidos y está a estrenar. Tiene un salón-comedor, cocina independiente totalmen
",centro
949.000,Piso en Calle Mayor Palacio,132,2,Planta 3ª exterior con ascensor,/inmueble/107828315/,"
CON TODO EL SABOR DE MADRID.
PRÁCTICAMENTE A ESTRENAR, COQUETA VIVIENDA EN TERCERA PLANTA DE DOS DORMITORIOS DOBLES Y DOS AMPLIOS CUARTOS DE BAÑO.
Exquisito piso exterior en la exclusiva zona de Palacio, una de las zonas mas emblemáticas de Madrid.
Finca representativa y rehabilitada exenta de IBI.
SI TIENE ASCENSOR
",centro
2.350.000,Piso en Huertas-Cortes Madrid,257,4,Planta 1ª exterior con ascensor,/inmueble/108727951/,"
Magnífica propiedad en el barrio de las Letras
Descubre una auténtica joya en pleno corazón del Barrio de las Letras: un espectacular piso en primera planta de más de 200m², totalmente diáfano y listo para reformar a tu gusto. Con techos altos, grandes proporciones y una distribución abierta que ofrece infinitas posibi
",centro
645.000,Piso en Calle de Atocha Lavapiés-Embajadores,88,3,Planta 4ª interior con ascensor,/inmueble/109147893/,"
Piso en venta en la Calle Atocha, muy cerca de la plaza de Antón Martín y la plaza de Jacinto Benavente, en una de las Calle más famosas de todo Madrid.
Se vende este inmueble de 3 habitaciones y 2 baños.
La distribución de este inmueble actualmente está enfocada para un piso de estudiantes o para cortas alquiler temp
",centro
1.395.000,Piso en Plazuela de San Ginés Sol,221,4,Planta 2ª exterior con ascensor,/inmueble/105501261/,"
Espectacular inmueble dividido en 2 apartamentos
Engel & Völkers tiene el placer de comercializar este maravilloso apartamento en el corazón de Madrid, en la fantástica zona prime de Palacio, rodeado de los principales puntos históricos y culturales de la capital.
Un espectacular inmueble del año 1900 que sus 221 m 2
",centro
650.000,Piso en Calle de Bailén Palacio,127,2,Bajo exterior sin ascensor,/inmueble/107900352/,"
Gran oportunidad para reforma o inversión en la calle Bailén
Engel & Völkers presenta esta propiedad de unos 127 m2 construidos para reforma integral o para conservar su actual distribución en dos viviendas separadas. Se trata de un inmueble exterior a dos calles y situado en una de las zonas más emblemáticas del Madri
",centro
229.000,Piso en Calle de las Huertas Huertas-Cortes,42,1,Bajo interior sin ascensor,/inmueble/108797925/,"
CONTACTAR CON EXTENSIÓN Nº2
VIVIENDA DÚPLEX A REFORMAR EN EL CORAZÓN DE HUERTAS – Madrid Centro.
Presentamos esta interesante oportunidad de inversión o vivienda en una de las zonas más emblemáticas y con mayor demanda del centro de Madrid: el barrio de Huertas, en el distrito Centro.
Se trata de una vivienda tipo d
",centro
525.000,Piso en Calle del Prado Huertas-Cortes,119,2,Planta 1ª exterior con ascensor,/inmueble/107585855/,"
CONTACTAR CON EXTENSIÓN Nº2
Contactad con extensión nº2,
EXCLUSIVA VIVIENDA EN EL CORAZON DE MADRID – A un paso de Plaza Santa Ana
Vivir en pleno centro de Madrid es un privilegio, y esta espectacular vivienda te brinda la oportunidad de hacerlo en uno de los barrios más exclusivos y emblemáticos de la ciudad. Ubica
",centro
1.700.000,Piso en Palacio Madrid,190,3,Planta 2ª exterior con ascensor,/inmueble/109216959/,"
Propiedad con mirador y balcones en Madrid de los Austrias
Engel & Völkers presenta esta magnífica propiedad con amplio mirador y dos balcones en el corazón del Madrid de los Austrias. Ubicada en un edificio clásico de 1.910 bien conservado del señorial barrio de Palacio, esta propiedad para rehabilitar permitirá al fu
",centro
